Article Url, Test Type, Time to First Paint, Time to Document Complete, kB transferred at Document Complete, Time to Fully Loaded, kB transferred at Fully Loaded, Speed Index 
http://www.theguardian.com/community/ng-interactive/2016/jan/11/david-bowie-share-your-memories, Desktop, 1174ms, 2706ms, 668kB, 10227ms, 1862kB, 6509
, Android/3G, 942ms, 8260ms, 1708kB, 9662ms, 1814kB, 5644
